file,url,status,info
2017-01-30_eo_13771_reducing_regulation.yaml,https://www.federalregister.gov/d/2017-02451,200,
2021-01-20_eo_13992_revocation_regulatory_orders.yaml,https://www.federalregister.gov/documents/2021/01/25/2021-01767/revocation-of-certain-executive-orders-concerning-federal-regulation,200,
2023-01-03-x-expands-political-ads.yaml,https://www.reuters.com/business/media-telecom/twitter-expand-permitted-political-advertising-2023-01-03/,200,
2023-03-27-x-verified-priority.yaml,https://twitter.com/elonmusk/status/1640490130543771650,200,
2023-03-27-x-verified-priority.yaml,https://x.com/elonmusk/status/1640502698549075972,200,
2023-03-27-x-verified-priority.yaml,https://www.theverge.com/2023/3/27/23659351/elon-musk-twitter-for-you-verified-accounts-polls,200,
2023-03-27-x-verified-priority.yaml,https://www.vanityfair.com/news/2023/03/elon-musk-getting-everyone-pay-for-twitter,,The read operation timed out
2023-06-02-youtube-election-policy.yaml,https://support.google.com/youtube/answer/10835034,200,
2023-06-02-youtube-election-policy.yaml,https://www.axios.com/2023/06/02/us-election-fraud-youtube-policy,200,
2023-06-02-youtube-election-policy.yaml,https://blog.youtube/inside-youtube/us-election-misinformation-update-2023/,200,
2023-06-02-youtube-election-policy.yaml,https://www.reuters.com/technology/youtube-stop-removing-content-making-false-claims-past-elections-2023-06-02/,200,
2023-06-02-youtube-election-policy.yaml,https://blog.youtube/news-and-events/our-approach-to-2024-elections/,200,
2023-06-02-youtube-election-policy.yaml,https://www.cnn.com/2023/06/02/tech/youtube-election-misinformation-policy/index.html,200,
2023-08-29-x-political-ads-return.yaml,https://blog.x.com/en_us/topics/company/2023/supporting-peoples-right-to-accurate-and-safe-political-discourse-on-x,200,
2023-08-29-x-political-ads-return.yaml,https://blog.x.com/en_us/topics/company/2023/expanding-our-political-advertising-policy,200,
2023-08-29-x-political-ads-return.yaml,https://www.reuters.com/technology/x-will-allow-political-ads-candidates-parties-ahead-us-election-2023-08-29/,200,
2023-08-29-x-political-ads-return.yaml,https://www.reuters.com/world/us/elon-musks-x-to-allow-us-political-ads-again-2023-08-29/,200,
2024-02-09-meta-political-default.yaml,https://about.instagram.com/blog/announcements/continuing-our-approach-to-political-content-on-instagram-and-threads,200,
2024-02-09-meta-political-default.yaml,https://www.theverge.com/2024/2/9/24067742/instagram-threads-meta-political-content-recommended-feeds,200,
2024-02-09-meta-political-default.yaml,https://techcrunch.com/2024/02/09/instagram-and-threads-will-no-longer-proactively-recommend-political-content/,200,
2024-03-19_scotus_sb4_temp_effect.yaml,https://www.supremecourt.gov/opinions/23pdf/23a814_febh.pdf,200,
2024-03-19_scotus_sb4_temp_effect.yaml,https://www.texastribune.org/2024/03/19/texas-illegal-immigration-supreme-court-sb-4/,200,
2024-03-26_ca5_blocks_sb4.yaml,https://www.ca5.uscourts.gov/opinions/pub/24/24-50149-CV2.pdf,200,
2024-03-29_guardian_ga_sb189.yaml,https://www.theguardian.com/us-news/2024/mar/29/georgia-state-election-law-changes,200,
2024-04-01-epa-pfas-cercla-guidance.yaml,https://www.epa.gov/system/files/documents/2024-04/pfas-cercla-guidance-memo.pdf,200,
